Provinsi;Semester 1 (Maret);Semester 2 (September)
ACEH;14.64;14.75
SUMATERA UTARA;8.42;8.33
SUMATERA BARAT;5.92;6.04
RIAU;6.78;6.84
JAMBI;7.62;7.70
SUMATERA SELATAN;11.90;11.95
BENGKULU;14.62;14.34
LAMPUNG;11.57;11.44
KEP. BANGKA BELITUNG;4.45;4.61
KEP. RIAU;6.24;6.03
DKI JAKARTA;4.69;4.61
JAWA BARAT;8.06;7.98
JAWA TENGAH;10.93;10.98
DI YOGYAKARTA;11.34;11.49
JAWA TIMUR;10.38;10.49
BANTEN;6.16;6.24
BALI;4.57;4.53
NUSA TENGGARA BARAT;13.68;13.82
NUSA TENGGARA TIMUR;20.05;20.23
KALIMANTAN BARAT;6.73;6.81
KALIMANTAN TENGAH;5.28;5.22
KALIMANTAN SELATAN;4.49;4.61
KALIMANTAN TIMUR;6.31;6.44
KALIMANTAN UTARA;6.77;6.86
SULAWESI UTARA;7.28;7.34
SULAWESI TENGAH;12.33;12.30
SULAWESI SELATAN;8.63;8.66
SULAWESI TENGGARA;11.17;11.27
GORONTALO;15.42;15.51
SULAWESI BARAT;11.75;11.92
MALUKU;15.97;16.23
MALUKU UTARA;6.23;6.37
PAPUA BARAT;21.33;21.43
PAPUA;26.56;26.80
INDONESIA;9.54;9.57
